name_of_site,url,org_code
استانداری کرمان,https://gov.kr.ir/,استانداری کرمان
املاک و اسکان,https://amlak.mrud.ir/,وزارت راه و شهرسازی
بیمه سلامت,https://ihio.gov.ir,سازمان بیمه سلامت ایران
پلیس (سخا),https://sakha.epolice.ir,فراجا
پنجره ملی دولت هوشمند,https://my.gov.ir,مرکز ملی فضای مجازی / پنجره ملی دولت هوشمند
تامین اجتماعی,https://tamin.ir/,سازمان تامین اجتماعی
ثبت احوال,https://sahim.sabteahval.ir/,سازمان ثبت احوال کشور
خدمات قضایی,https://my.adliran.ir/,قوه قضاییه
درگاه مجوزها,https://mojavez.ir,وزارت امور اقتصادی و دارایی (درگاه مجوزها)
سامانه جامع تجارت,https://ntsw.ir/,سازمان توسعه تجارت ایران
سامانه حمایتی,https://mcls.gov.ir,وزارت تعاون، کار و رفاه اجتماعی
ستاد انتخابات,https://keshvar.moi.ir,وزارت کشور
شبکه ملی اعتبار (شما),https://shoma.sfara.ir/,بانک مرکزی جمهوری اسلامی ایران (شبکه ملی اعتبار)
کارت سوخت,https://fcs.niopdc.ir,شرکت ملی پخش فرآورده‌های نفتی ایران
کالابرگ,https://mcls.gov.ir,وزارت تعاون، کار و رفاه اجتماعی
پورتال آموزش ایمیدرو حقیقی,https://idea.imidro.gov.ir/IdeaPortal/ISSO/1,سازمان توسعه و نوسازی معادن و صنایع معدنی ایران (ایمیدرو)
پنجره واحد بانک سپه,https://my.banksepah.ir/sepah-sso,بانک سپه
پنجره واحد بانک ملی ایران,https://gov.bmi.ir,بانک ملی ایران
پنجره واحد صنایع کوچک حقوقی,https://sso.isipo.ir/GovLogin/Company,سازمان صنایع کوچک و شهرک‌های صنعتی ایران
پنجره واحد صنایع کوچک حقیقی,https://sso.isipo.ir/gov/loginSSO,سازمان صنایع کوچک و شهرک‌های صنعتی ایران
پنجره واحد تجارت الکترونیکی حقوقی,https://sw.ecommerce.gov.ir/gov/legal,مرکز توسعه تجارت الکترونیکی
پنجره واحد تجارت الکترونیکی حقیقی,https://sw.ecommerce.gov.ir/gov/personal,مرکز توسعه تجارت الکترونیکی
پنجره واحد راه و شهرسازی حقوقی,https://sso2.mrud.ir/login/my.mrud.ir/M55smh111D768BbR/1,وزارت راه و شهرسازی
پنجره واحد راه و شهرسازی حقیقی,https://sso2.mrud.ir/login/my.mrud.ir/M55smh111D768BbR/0,وزارت راه و شهرسازی
صندوق بیمه اجتماعی کشاورزان روستائیان و عشایر,https://eservices.roostaa.ir/#/servicedesk,صندوق بیمه اجتماعی کشاورزان، روستائیان و عشایر
پنجره واحد مرکز آمار ایران,https://sso.sci.org.ir/mygov-login?utype=1,مرکز آمار ایران
پنجره واحد مرکز آمار ایران حقوقی,https://sso.sci.org.ir/mygov-login?utype=2,مرکز آمار ایران
پورتال آموزش ایمیدرو حقوقی,https://idea.imidro.gov.ir/IdeaPortal/ISSO/2,سازمان توسعه و نوسازی معادن و صنایع معدنی ایران (ایمیدرو)
پنجره واحد وزارت کشاورزی حقیقی,https://sso.maj.ir/haghighi.aspx,وزارت جهاد کشاورزی
سامانه الکترونیکی طرح پرواز,https://efpl.airport.ir/login/ssologin.aspx,شرکت فرودگاه‌های کشور
سامانه تشخیص صلاحیت شرکت‌های آماری حقوقی,https://statcnslt.sci.org.ir/account/loginclient?utype=2,مرکز آمار ایران
سامانه ثبت قرارداد اجاره,https://asanmadrak.ir/sso,وزارت راه و شهرسازی (اجاره‌نامه)
سامانه دادما,https://dad.mefa.ir/loginsso,وزارت امور اقتصادی و دارایی
سامانه شهرداری یاسوج,https://urban.yasujct.com,شهرداری یاسوج
صندوق اعتباری هنر,https://profile.honarcredit.ir/Login/SSO,صندوق اعتباری هنر
صندوق ضمانت سرمایه گذاری صنایع کوچک حقوقی,https://zemanat.sif.ir/ssologin/legal,صندوق ضمانت سرمایه‌گذاری صنایع کوچک
صندوق ضمانت سرمایه گذاری صنایع کوچک حقیقی,https://zemanat.sif.ir/ssologin/real,صندوق ضمانت سرمایه‌گذاری صنایع کوچک
اتحادیه سازمان های حمل و نقل همگانی کشور,https://my.upto.ir/Home/SSOLOGIN,اتحادیه سازمان‌های حمل و نقل همگانی کشور
استانداری گلستان,http://eservices.golestanp.ir/Frm/governmentLogin.php,استانداری گلستان
استحقاق سنجی بیمه سلامت,https://eligibility.ihio.gov.ir/ssoitoauth,سازمان بیمه سلامت ایران
ایمیل ملی ایران حقوقی,https://accounts.iran.ir/oauth-legal,شرکت ارتباطات زیرساخت (ایمیل ملی)
ایمیل ملی ایران حقیقی,https://accounts.iran.ir/oauth,شرکت ارتباطات زیرساخت (ایمیل ملی)
بنیاد شهید و امور ایثارگران,https://login.isaar.ir/sso/myiran/login,بنیاد شهید و امور ایثارگران
بنیاد ملی علم ایران,https://rtms.insf.org/SsoRedirect.php,بنیاد ملی علم ایران
بنیاد ملی نخبگان,https://sso.bmn.ir/Member/MyGovRedirect,بنیاد ملی نخبگان
بنیاد ملی نخبگان حقوقی,https://sso.bmn.ir/Member/MyGOVCMPRedirect,بنیاد ملی نخبگان
پژوهشگاه ارتباطات و فناوری اطلاعات,https://egov.itrc.ac.ir/sso/index.php,پژوهشگاه ارتباطات و فناوری اطلاعات
پژوهشگاه ارتباطات و فناوری اطلاعات حقوقی,https://egov.itrc.ac.ir/sso/index2.php,پژوهشگاه ارتباطات و فناوری اطلاعات
پژوهشگاه صنعت نفت,https://portal.ripi.ir/Account/Login/ExternalLogin,پژوهشگاه صنعت نفت
پلیس راهنمایی و رانندگی راهور,https://rahvar120.ir/,پلیس راهور فراجا
صندوق حمایت از تحقیقات صنایع پیشرفته حقوقی,https://portal.airdfh.ir/auth/login,صندوق حمایت از تحقیقات و توسعه صنایع پیشرفته
صندوق حمایت از تحقیقات صنایع پیشرفته حقیقی,http://portal-api.airdfh.ir/NewCsm/v1/SSOAuthorization/individual-persons/signin,صندوق حمایت از تحقیقات و توسعه صنایع پیشرفته
صندوق ضمانت صادرات حقوقی,https://eservices.egfi.org/auth/sso/gov/legal,صندوق ضمانت صادرات ایران
صندوق ضمانت صادرات حقیقی,https://eservices.egfi.org/auth/sso/gov,صندوق ضمانت صادرات ایران
پنجره واحد بانک صنعت و معدن,https://services.bim.ir/lcontract/Home/Login,بانک صنعت و معدن
پنجره واحد پست بانک,https://www.postbank.ir/SSO,پست بانک ایران
پنجره واحد جهاد دانشگاهی,https://swapp.my.acecr.ac.ir/login,جهاد دانشگاهی
پنجره واحد استانداری گیلان,https://my.gilan.ir/plugin/myGov/authentication.php,استانداری گیلان
پنجره واحد خدمات اصناف کشور,https://panjarevahed.iranianasnaf.ir/,اتاق اصناف ایران
پنجره واحد بیمه مرکزی ایران,https://my.centinsur.ir,بیمه مرکزی جمهوری اسلامی ایران
پنجره واحد سازمان ملی بهره‌وری ایران,https://sso.npo.gov.ir/npo/authentication/authorize,سازمان ملی بهره‌وری ایران
پنجره واحد وزارت امور اقتصادی و دارایی,https://sso.mefa.ir/auth/realms/sso/broker/oidc/endpoint,وزارت امور اقتصادی و دارایی
پنجره واحد وزارت امور اقتصادی و دارایی حقوقی,https://sso.mefa.ir/auth/realms/sso/broker/oidc-legal/endpoint,وزارت امور اقتصادی و دارایی
پنجره واحد خدمات دانشگاهی,https://usw.msrt.ir/gov/login,وزارت علوم، تحقیقات و فناوری
پنجره واحد بانک رفاه کارگران,https://panjareh.rb24.ir/,بانک رفاه کارگران
پنجره واحد سازمان بورس و اوراق بهادار,https://sso.seo.ir/,سازمان بورس و اوراق بهادار
پنجره واحد سازمان خصوصی سازی حقیقی,https://sso.ipo.ir/MyIran/RouteHaghighi,سازمان خصوصی‌سازی کشور
پنجره واحد راهداری و حمل و نقل جاده‌ای حقوقی,http://khedmat.rmto.ir/api/1.0/rmto/nlp/auth/legal-sso,سازمان راهداری و حمل و نقل جاده‌ای
پنجره واحد راهداری و حمل و نقل جاده‌ای حقیقی,http://khedmat.rmto.ir/api/1.0/rmto/nlp/auth/sso,سازمان راهداری و حمل و نقل جاده‌ای
پنجره واحد سازمان هدفمندسازی یارانه‌ها,https://simin.hadafmandi.ir/api/callback,سازمان هدفمندسازی یارانه‌ها
پنجره واحد سازمان هواپیمایی کشوری حقوقی,https://my.cao.ir/external-idp/my-gov-sso-legal/oidc-redirect,سازمان هواپیمایی کشوری
پنجره واحد سازمان هواپیمایی کشوری حقیقی,https://my.cao.ir/external-idp/my-gov-sso/oidc-login,سازمان هواپیمایی کشوری
پنجره واحد شرکت عمران شهرهای جدید حقوقی,https://mysso.ntdc.ir/MyIran/RouteHoghooghi,شرکت مادرتخصصی عمران شهرهای جدید
پنجره واحد شرکت عمران شهرهای جدید حقیقی,https://mysso.ntdc.ir/MyIran/RouteHaghighi,شرکت مادرتخصصی عمران شهرهای جدید
پنجره واحد شرکت ملی پخش فرآورده‌های نفتی,https://apigateway.niopdc.ir/api/sso/real,شرکت ملی پخش فرآورده‌های نفتی ایران
پنجره واحد شرکت ملی صنایع پتروشیمی,https://egovsso.nipc.ir/MyIran/RouteHoghooghi,شرکت ملی صنایع پتروشیمی
پنجره واحد خدمات فراجا,https://sakha.epolice.ir/portal/gov/login,فراجا
مرکز تحقیقات راه مسکن و شهرسازی,https://my.bhrc.ac.ir/login-client,مرکز تحقیقات راه، مسکن و شهرسازی
وزارت تعاون کار و رفاه اجتماعی حقیقی,https://sso.mcls.gov.ir/auth/realms/sso/broker/oidc/endpoint,وزارت تعاون، کار و رفاه اجتماعی
وزارت میراث فرهنگی گردشگری و صنایع دستی حقوقی,https://egovsso.mcth.ir/MyIran/RouteHoghooghi,وزارت میراث فرهنگی، گردشگری و صنایع دستی
وزارت میراث فرهنگی گردشگری و صنایع دستی حقیقی,https://egovsso.mcth.ir/MyIran/RouteHaghighi,وزارت میراث فرهنگی، گردشگری و صنایع دستی
پنجره واحد وزارت نیرو حقیقی,https://my.moe.gov.ir/real/redirect_url,وزارت نیرو
هما حقیقی,https://sso.iranair.com/auth/realms/sso/broker/oidc/endpoint,شرکت هواپیمایی جمهوری اسلامی ایران (هما)
